"VRSTA VOZILA";"OBÈINE";"LETO";Cestna vozila konec leta (31.12.)
"Vozila - SKUPAJ";"Gorišnica";"2017";3386
"Vozila - SKUPAJ";"Gorišnica";"2018";3510
"Vozila - SKUPAJ";"Gorišnica";"2019";3577
"Vozila - SKUPAJ";"Gorje";"2010";1545
"Vozila - SKUPAJ";"Gorje";"2011";1811
"Vozila - SKUPAJ";"Gorje";"2012";2040
"Vozila - SKUPAJ";"Gorje";"2013";2032
"Vozila - SKUPAJ";"Gorje";"2014";2039
"Vozila - SKUPAJ";"Gorje";"2015";2060
"Vozila - SKUPAJ";"Gorje";"2016";2118
"Vozila - SKUPAJ";"Gorje";"2017";2221
"Vozila - SKUPAJ";"Gorje";"2018";2288
"Vozila - SKUPAJ";"Gorje";"2019";2331
"Vozila - SKUPAJ";"Gornja Radgona";"2010";6762
"Vozila - SKUPAJ";"Gornja Radgona";"2011";6519
"Vozila - SKUPAJ";"Gornja Radgona";"2012";6364
"Vozila - SKUPAJ";"Gornja Radgona";"2013";6168
"Vozila - SKUPAJ";"Gornja Radgona";"2014";6218
"Vozila - SKUPAJ";"Gornja Radgona";"2015";6256
"Vozila - SKUPAJ";"Gornja Radgona";"2016";6365
"Vozila - SKUPAJ";"Gornja Radgona";"2017";6628
"Vozila - SKUPAJ";"Gornja Radgona";"2018";6794
"Vozila - SKUPAJ";"Gornja Radgona";"2019";6949
"Vozila - SKUPAJ";"Gornji Grad";"2010";1713
"Vozila - SKUPAJ";"Gornji Grad";"2011";1746
"Vozila - SKUPAJ";"Gornji Grad";"2012";1763
"Vozila - SKUPAJ";"Gornji Grad";"2013";1752
"Vozila - SKUPAJ";"Gornji Grad";"2014";1748
"Vozila - SKUPAJ";"Gornji Grad";"2015";1796
"Vozila - SKUPAJ";"Gornji Grad";"2016";1803
"Vozila - SKUPAJ";"Gornji Grad";"2017";1889
"Vozila - SKUPAJ";"Gornji Grad";"2018";1981
"Vozila - SKUPAJ";"Gornji Grad";"2019";1980
"Vozila - SKUPAJ";"Gornji Petrovci";"2010";1740
"Vozila - SKUPAJ";"Gornji Petrovci";"2011";1759
"Vozila - SKUPAJ";"Gornji Petrovci";"2012";1829
"Vozila - SKUPAJ";"Gornji Petrovci";"2013";1836
"Vozila - SKUPAJ";"Gornji Petrovci";"2014";1850
"Vozila - SKUPAJ";"Gornji Petrovci";"2015";1842
"Vozila - SKUPAJ";"Gornji Petrovci";"2016";1859
"Vozila - SKUPAJ";"Gornji Petrovci";"2017";1936
"Vozila - SKUPAJ";"Gornji Petrovci";"2018";1976
"Vozila - SKUPAJ";"Gornji Petrovci";"2019";2010
"Vozila - SKUPAJ";"Grad";"2010";1681
"Vozila - SKUPAJ";"Grad";"2011";1719
"Vozila - SKUPAJ";"Grad";"2012";1731
"Vozila - SKUPAJ";"Grad";"2013";1741
"Vozila - SKUPAJ";"Grad";"2014";1765
"Vozila - SKUPAJ";"Grad";"2015";1802
"Vozila - SKUPAJ";"Grad";"2016";1819
"Vozila - SKUPAJ";"Grad";"2017";1857
"Vozila - SKUPAJ";"Grad";"2018";1909
"Vozila - SKUPAJ";"Grad";"2019";1925
"Vozila - SKUPAJ";"Grosuplje";"2010";13224
"Vozila - SKUPAJ";"Grosuplje";"2011";13365
"Vozila - SKUPAJ";"Grosuplje";"2012";13467
"Vozila - SKUPAJ";"Grosuplje";"2013";13571
"Vozila - SKUPAJ";"Grosuplje";"2014";13787
"Vozila - SKUPAJ";"Grosuplje";"2015";14090
"Vozila - SKUPAJ";"Grosuplje";"2016";14608
